,a,b,c,Total,fileId,iId
0_0,2,0,1,3,0,0
2_0,2,0,1,3,2,0
3_0,2,0,1,3,3,0
3_1,2,0,1,3,3,1
4_0,2,0,1,3,4,0
4_2,0,2,1,3,4,2
6_0,0,2,1,3,6,0
6_1,0,2,1,3,6,1
8_0,2,0,1,3,8,0
9_0,2,0,1,3,9,0
10_0,0,2,1,3,10,0
14_0,0,2,1,3,14,0
14_1,2,0,1,3,14,1
21_0,2,0,1,3,21,0
23_1,2,0,1,3,23,1
26_0,2,0,1,3,26,0
29_0,2,0,1,3,29,0
31_0,1,2,0,3,31,0
31_2,0,2,1,3,31,2
33_1,2,0,1,3,33,1
34_1,0,2,1,3,34,1
34_3,2,0,1,3,34,3
35_0,2,0,1,3,35,0
38_0,2,0,1,3,38,0
45_0,1,2,0,3,45,0
45_1,0,2,1,3,45,1
48_0,0,2,1,3,48,0
49_2,2,0,1,3,49,2
49_3,0,2,1,3,49,3
50_0,0,2,1,3,50,0
54_0,2,0,1,3,54,0
58_1,0,2,1,3,58,1
66_0,2,0,1,3,66,0
67_0,2,0,1,3,67,0
68_0,2,0,1,3,68,0
68_1,2,0,1,3,68,1
74_1,0,2,1,3,74,1
75_0,2,0,1,3,75,0
75_1,2,0,1,3,75,1
81_0,2,0,1,3,81,0
83_0,2,0,1,3,83,0
87_0,2,0,1,3,87,0
90_0,0,2,1,3,90,0
90_1,2,0,1,3,90,1
94_1,2,0,1,3,94,1
99_1,0,2,1,3,99,1
108_1,1,2,0,3,108,1
118_0,1,0,2,3,118,0
118_1,1,1,1,3,118,1
126_0,0,2,1,3,126,0
126_1,0,2,1,3,126,1
136_0,0,2,1,3,136,0
138_0,2,0,1,3,138,0
138_1,2,0,1,3,138,1
154_0,0,2,1,3,154,0
161_1,1,2,0,3,161,1
165_1,0,2,1,3,165,1
165_2,0,2,1,3,165,2
172_1,0,2,1,3,172,1
194_0,2,0,1,3,194,0
198_0,2,0,1,3,198,0
199_0,0,2,1,3,199,0
199_1,0,2,1,3,199,1
212_1,2,1,0,3,212,1
218_0,1,2,0,3,218,0
219_0,2,0,1,3,219,0
222_1,1,2,0,3,222,1
222_2,1,2,0,3,222,2
222_3,1,2,0,3,222,3
222_4,0,2,1,3,222,4
222_5,0,2,1,3,222,5
223_0,2,0,1,3,223,0
224_0,0,2,1,3,224,0
226_0,2,1,0,3,226,0
232_0,1,2,0,3,232,0
233_0,0,2,1,3,233,0
235_0,0,2,1,3,235,0
236_0,0,2,1,3,236,0
242_0,0,2,1,3,242,0
247_2,2,0,1,3,247,2
248_0,0,2,1,3,248,0
249_0,0,2,1,3,249,0
254_0,0,2,1,3,254,0
254_1,0,2,1,3,254,1
257_0,0,2,1,3,257,0
257_1,0,2,1,3,257,1
263_0,2,0,1,3,263,0
269_0,0,2,1,3,269,0
269_1,0,2,1,3,269,1
277_0,0,2,1,3,277,0
277_1,0,2,1,3,277,1
282_0,2,0,1,3,282,0
290_1,2,0,1,3,290,1
293_1,2,0,1,3,293,1
294_1,2,0,1,3,294,1
297_0,2,0,1,3,297,0
298_0,0,2,1,3,298,0
299_2,2,0,1,3,299,2
300_1,0,2,1,3,300,1
302_0,0,2,1,3,302,0
310_0,0,2,1,3,310,0
315_0,2,0,1,3,315,0
320_0,1,2,0,3,320,0
320_1,1,2,0,3,320,1
320_2,0,2,1,3,320,2
321_1,2,0,1,3,321,1
322_0,2,0,1,3,322,0
324_0,2,1,0,3,324,0
324_1,2,0,1,3,324,1
325_0,0,2,1,3,325,0
333_1,1,1,1,3,333,1
340_0,2,0,1,3,340,0
344_2,2,0,1,3,344,2
360_0,2,0,1,3,360,0
364_1,0,2,1,3,364,1
365_1,0,2,1,3,365,1
365_2,2,0,1,3,365,2
365_3,2,0,1,3,365,3
367_2,0,2,1,3,367,2
371_0,0,2,1,3,371,0
371_2,2,0,1,3,371,2
377_0,2,1,0,3,377,0
379_0,0,2,1,3,379,0
379_1,0,2,1,3,379,1
382_0,0,2,1,3,382,0
382_1,0,2,1,3,382,1
384_0,2,0,1,3,384,0
392_0,2,0,1,3,392,0
395_0,0,2,1,3,395,0
396_1,0,2,1,3,396,1
397_0,2,1,0,3,397,0
409_1,0,2,1,3,409,1
411_0,1,2,0,3,411,0
411_1,2,0,1,3,411,1
412_1,2,0,1,3,412,1
413_1,0,2,1,3,413,1
415_3,2,0,1,3,415,3
416_1,0,2,1,3,416,1
418_1,0,2,1,3,418,1
419_0,2,0,1,3,419,0
419_1,2,0,1,3,419,1
